Team,HGS,HGC,AGS,AGC,TGS,TGC,GD,totalpoints,homepoints,awaypoints,gamesplayed,homewin,homedraw,homeloss,awaywin,awaydraw,awayloss,winsagg,drawsagg,lossagg,win%,draw%,loss%
Everton,656,459,446,600,1102,1059,43,1191,725,466,836,207,104,107,114,124,180,321,228,287,38.4,27.3,34.3
Newcastle,552,463,391,637,943,1100,-157,973,608,365,760,170,98,112,90,95,195,260,193,307,34.2,25.4,40.4
West Ham,520,472,388,588,908,1060,-152,895,538,357,722,150,88,123,88,93,180,238,181,303,33.0,25.1,42.0
Aston Villa,457,427,409,582,866,1009,-143,885,504,381,722,132,108,121,93,102,166,225,210,287,31.2,29.1,39.8
Southampton,399,350,299,453,698,803,-105,704,417,287,570,111,84,90,70,77,138,181,161,228,31.8,28.2,40.0
Fulham,380,363,251,468,631,831,-200,640,423,217,570,120,63,102,42,91,152,162,154,254,28.4,27.0,44.6
Leicester,308,262,275,330,583,592,-9,554,324,230,418,90,54,65,60,50,99,150,104,164,35.9,24.9,39.2
Blackburn,289,239,229,353,518,592,-74,530,317,213,418,86,59,64,54,51,104,140,110,168,33.5,26.3,40.2
Sunderland,288,336,232,459,520,795,-275,520,318,202,532,81,75,110,46,64,156,127,139,266,23.9,26.1,50.0
Bolton,278,260,217,353,495,613,-118,506,306,200,418,81,63,65,51,47,111,132,110,176,31.6,26.3,42.1
West Brom,295,361,215,411,510,772,-262,490,294,196,494,76,66,105,41,73,133,117,139,238,23.7,28.1,48.2
Stoke,248,213,150,312,398,525,-127,457,297,160,380,81,54,55,35,55,100,116,109,155,30.5,28.7,40.8
Crystal Palace,213,236,215,309,428,545,-117,437,233,204,380,63,44,83,52,48,90,115,92,173,30.3,24.2,45.5
Middlesbrough,251,232,163,271,414,503,-89,432,270,162,380,71,57,62,36,54,100,107,111,162,28.2,29.2,42.6
Wolves,181,220,147,242,328,462,-134,348,201,147,304,55,36,61,35,42,75,90,78,136,29.6,25.7,44.7
Wigan,169,215,147,267,316,482,-166,331,189,142,304,48,45,59,37,31,84,85,76,143,28.0,25.0,47.0
Charlton,179,178,122,208,301,386,-85,325,195,130,266,54,33,46,31,37,65,85,70,111,32.0,26.3,41.7
Burnley,161,195,139,260,300,455,-155,325,194,131,304,52,38,62,31,38,83,83,76,145,27.3,25.0,47.7
Swansea,179,170,127,213,306,383,-77,312,190,122,266,51,37,45,31,29,73,82,66,118,30.8,24.8,44.4
Leeds,164,158,155,191,319,349,-30,311,162,149,228,44,30,40,43,20,51,87,50,91,38.2,21.9,39.9
Portsmouth,184,159,108,221,292,380,-88,302,196,106,266,54,34,45,25,31,77,79,65,122,29.7,24.4,45.9
Birmingham,162,140,111,220,273,360,-87,301,196,105,266,50,46,37,23,36,74,73,82,111,27.4,30.8,41.7
Watford,156,205,119,236,275,441,-166,261,156,105,266,40,36,57,27,24,82,67,60,139,25.2,22.6,52.3
Norwich,156,210,95,279,251,489,-238,234,158,76,266,41,35,57,15,31,87,56,66,144,21.1,24.8,54.1
Bournemouth,136,148,105,182,241,330,-89,211,127,84,190,34,25,36,22,18,55,56,43,91,29.5,22.6,47.9
Brighton,104,125,86,133,190,258,-68,209,117,92,190,27,36,32,21,29,45,48,65,77,25.3,34.2,40.5
Hull,107,145,74,178,181,323,-142,171,111,60,190,29,24,42,12,24,59,41,48,101,21.6,25.3,53.2
Reading,71,78,65,108,136,186,-50,119,81,38,114,23,12,22,9,11,37,32,23,59,28.1,20.2,51.8
Sheffield United,60,63,31,94,91,157,-66,115,76,39,114,22,10,25,9,12,36,31,22,61,27.2,19.3,53.5
Ipswich,51,39,47,67,98,106,-8,102,60,42,76,17,9,12,12,6,20,29,15,32,38.2,19.7,42.1
QPR,60,77,55,122,115,199,-84,92,63,29,114,15,18,24,7,8,42,22,26,66,19.3,22.8,57.9
Derby,55,93,35,118,90,211,-121,83,58,25,114,14,16,27,5,10,42,19,26,69,16.7,22.8,60.5
Cardiff,41,73,25,70,66,143,-77,64,40,24,76,11,7,20,6,6,26,17,13,46,22.4,17.1,60.5
Huddersfield,26,56,24,78,50,134,-84,53,32,21,76,8,8,22,4,9,25,12,17,47,15.8,22.4,61.8
Brentford,22,21,26,35,48,56,-8,46,24,22,38,7,3,9,6,4,9,13,7,18,34.2,18.4,47.4
Blackpool,30,37,25,41,55,78,-23,39,20,19,38,5,5,9,5,4,10,10,9,19,26.3,23.7,50.0
Coventry,14,23,22,40,36,63,-27,34,19,15,38,4,7,8,4,3,12,8,10,20,21.1,26.3,52.6
Bradford,20,29,10,41,30,70,-40,26,19,7,38,4,7,8,1,4,14,5,11,22,13.2,28.9,57.9
